1,99623 Dakota Plaza,New Orleans,LA,82574
2,095 Kipling Terrace,Peoria,IL,94242
3,01 Lotheville Lane,Houston,TX,82399
4,5 Aberg Point,Richmond,VA,73267
5,0475 Pond Plaza,Philadelphia,PA,97198
6,0 Schiller Court,Miami,FL,34309
7,54 Pleasure Parkway,Corpus Christi,TX,13688
8,13 Fremont Circle,Los Angeles,CA,79634
9,34310 Summer Ridge Plaza,Tulsa,OK,95829
10,103 Vahlen Point,Corpus Christi,TX,36146
11,9272 Springview Street,Chico,CA,22611
12,4843 Golf Drive,Shawnee Mission,KS,29482
13,65 Scofield Plaza,San Bernardino,CA,97176
14,73132 Swallow Road,Milwaukee,WI,69314
15,310 Merry Court,Milwaukee,WI,52410
16,09350 Cascade Junction,Jacksonville,FL,67281
17,0039 Summit Road,Roanoke,VA,33659
18,7758 Del Mar Hill,Lafayette,IN,14376
19,4505 Pawling Center,Washington,DC,97462
20,7448 Lake View Plaza,Washington,DC,34545
21,311 Dottie Street,Bakersfield,CA,66779
22,4 Spaight Street,Duluth,MN,15319
23,237 Pleasure Way,Fairfax,VA,65896
24,49 Ridge Oak Circle,Mobile,AL,10123
25,84 Basil Drive,Harrisburg,PA,17273
26,9 Dunning Hill,New York City,NY,49219
27,6 John Wall Hill,Las Vegas,NV,29458
28,18468 Monica Road,Macon,GA,95771
29,3145 Porter Avenue,Saint Paul,MN,86050
30,12305 Waxwing Trail,Chicago,IL,69362
31,1575 Shasta Lane,San Antonio,TX,14670
32,6268 Hansons Avenue,Bloomington,IN,80404
33,507 Gulseth Road,Denver,CO,24850
34,52 8th Way,Norwalk,CT,82317
35,285 Ridgeview Lane,New York City,NY,64805
36,722 Cherokee Pass,Glendale,AZ,46041
37,0 Crownhardt Street,Richmond,VA,64802
38,66478 Melvin Point,Philadelphia,PA,72232
39,7768 Waxwing Center,Saint Paul,MN,91737
40,092 Melby Pass,Charlotte,NC,25647
41,75 Tennyson Center,Miami,FL,12407
42,5259 Lillian Parkway,Dulles,VA,29055
43,33297 Dennis Lane,Portland,OR,58224
44,66 Arkansas Center,Miami,FL,84905
45,4 Ridgeway Way,Des Moines,IA,70060
46,5 Hollow Ridge Drive,Pasadena,CA,12111
47,14136 Dottie Pass,Buffalo,NY,37704
48,22 Grasskamp Avenue,Brea,CA,22387
49,06928 Vahlen Pass,Norfolk,VA,23886
50,36 Chinook Street,Los Angeles,CA,71720
51,1 Anderson Avenue,Houston,TX,33610
52,35 Cascade Street,San Antonio,TX,71432
53,494 Calypso Center,Portland,OR,23409
54,093 Ludington Lane,Springfield,IL,72312
55,4270 Buhler Junction,New York City,NY,11379
56,39972 Hoffman Point,Ventura,CA,26561
57,9096 Myrtle Center,Albany,NY,18837
58,4799 Pond Center,Palo Alto,CA,53237
59,6653 Little Fleur Pass,Huntington,WV,56173
60,15015 Granby Terrace,San Antonio,TX,81413
61,26851 Summit Road,Duluth,MN,65432
62,186 Fallview Road,Saint Louis,MO,96130
63,90 Arrowood Court,Indianapolis,IN,41391
64,9055 Eastwood Way,San Antonio,TX,59492
65,5 Dapin Center,New Brunswick,NJ,21381
66,4417 Sycamore Place,Myrtle Beach,SC,97723
67,388 Greenwich St,New York,NY,10013
68,333 O'Farrell St,San Francisco,CA,94109
69,201 E Delaware Pl,Chicago,IL,60611
70,0 Vera Place,New York,NY,10016
71,853 Fremont Place,New York,NY,10011
72,7 Namekagon Circle,New York,NY,10128
73,6 Johnson Junction,New York,NY,11201
74,8 Miller Park,New York,NY,10011
75,86449 Spohn Avenue,Chicago,IL,60657
76,1171 Sunbrook Way,Chicago,IL,60614
77,1827 Lerdahl Place,Chicago,IL,60640
78,5 Shopko Crossing,Chicago,IL, 60647
79,99905 Longview Terrace,Chicago,IL,60614
80,318 Vahlen Pass,San Francisco,CA,94109
81,4 Shasta Hill,San Francisco,CA,94109
82,84824 Merry Parkway,San Francisco,CA,94109
83,4 Novick Place,San Francisco,CA,94109
84,42 Fieldstone Drive,San Francisco,CA,94109
85,8 Mayer Circle,New York,NY,10025
86,6260 Farwell Alley,New York,NY,10023
87,4478 Michigan Hill,New York,NY,10025
88,7 Becker Junction,New York,NY,10023
89,47 Sunbrook Crossing,New York,NY,10025
90,8 Garrison Crossing,Chicago,IL,60614
91,1 Morningstar Parkway,Chicago,IL,60657
92,8 Hollow Ridge Hill,Chicago,IL,60614
93,12 Homewood Park,Chicago,IL,60657
94,994 Summer Ridge Park,Chicago,IL,60614
95,66 Cordelia Court,San Francisco,CA,94109
96,001 Novick Avenue,San Francisco,CA,94109
